cluster,incident_type,lat,lng
2,FOOT PATROL,38.95633,-92.33356
2,SPECIAL ASSIGNMENT,38.9525,-92.3305
2,FOOT PATROL,38.9504,-92.33325
2,TRAFFIC STOP,38.9566,-92.3263
2,911 CHECKS,38.9684,-92.3385
2,SUSPICIOUS INCIDENT,38.95248,-92.33047
2,CHECK SUBJECT,38.95109,-92.32662
2,911 CHECKS,38.95014,-92.3081
2,CHECK OPEN BUSINESS,38.96612,-92.32394
2,ABANDONED VEHICLE,38.95618,-92.31467
2,ABANDONED VEHICLE,38.946881,-92.310031
2,FOOT PATROL,38.95633,-92.33356
2,911 CHECKS,38.95633,-92.33356
